FeatureID	FIELD_PA	EXP_PA	TYPE_PA	Taxon
03c0b8d08782dccedd73ccc7473111dc	VonDamm only	Shared	Cosmo	Eukaryota;Hacrobia;Telonemia;Telonemia_X;Telonemia_XX;Telonemia-Group-2;Telonemia-Group-2_X;Telonemia-Group-2_X_sp.;
04278889527710036e38d6c4ccdc59af	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Leegaardiellidae_B;Leegaardiella;Leegaardiella_sp.;
046fb9367f955d6f6578cf3558a6564a	Shared across	Shared	Vent only	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-29;Dino-Group-II-Clade-29_X;Dino-Group-II-Clade-29_X_sp.;
04aa13d17f5509b4dd6e30bfabcc560b	VonDamm only	Shared	Cosmo	Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX
04b76ab1d07ed2d72ec02e635292735f	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;OLIGO5;OLIGO5_X;OLIGO5_XX;OLIGO5_XX_sp.;
04b9709721e407c7eb529f07830caa27	Piccard only	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Ciliophora_X;Ciliophora_XX;Protocruziidae;Protocruzia
04f1012744f83c89c0ef5b62e87548d6	Shared across	Shared	Cosmo	Eukaryota;Archaeplastida;Streptophyta;Embryophyceae;Embryophyceae_X;Embryophyceae_XX
04ffb263fcd8aefa669cfa25acdd7a2d	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-7;Dino-Group-II-Clade-7_X;Dino-Group-II-Clade-7_X_sp.;
051f556c4a7a15096c352c0dce5d4b6d	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae
05354749dc7b0859dc5bd86453e94fe0	VonDamm only	Shared	Cosmo	Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes
0596bd4de53805cbc86a4dda8f424a2f	Shared across	Shared	Cosmo	Eukaryota;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B_X_Group-Ic;RAD-B_X_Group-Ic_X;RAD-B_X_Group-Ic_X_sp.;
05b6d079805b2bb389fee9b9a7e0feba	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Sagenista;MAST-7
05bb463b9d3dfd747e61ac879cffe67e	Piccard only	Shared	Cosmo	Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida
05d7768aa42270d0ad26e693c61a8b8e	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Sagenista;MAST-7;MAST-7A;MAST-7A_X;MAST-7A_XX;MAST-7A_XX_sp.;
069bfdd6b59d5c60d766c0427fe0f447	Piccard only	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae_M;Strombidium_M;Strombidium_M_sp.;
06b229d8a47a3f98d7becfe2719e72a4	VonDamm only	Shared	Cosmo	Eukaryota;Hacrobia;Picozoa;Picozoa_X;Picozoa_XX;Picozoa_XXX;Picozoa_XXXX;Picozoa_XXXX_sp.;
06cb67e2036452e926aaf2edeef3acc6	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;
070abf8a222a8fcba31b15f291e9260b	Shared across	Shared	Cosmo	Eukaryota;Hacrobia;Telonemia;Telonemia_X;Telonemia_XX;Telonemia-Group-2;Telonemia-Group-2_X;Telonemia-Group-2_X_sp.;
070ac3ba58579d7e9754c74d07cb9383	VonDamm only	Shared	Cosmo	Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Maxillopoda_X;Maxillopoda_X_sp.;
075f321f08cf0cba8efda9ee2e50742e	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Stramenopiles_X
08459d4fda2632187d57ca910e327b66	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;
0877975ea73511403224874acdb102e2	Piccard only	Shared	Cosmo	Unassigned
08bef0d622e6546802a3fd20781869a3	Shared across	Shared	Cosmo	Eukaryota;Hacrobia;Telonemia;Telonemia_X;Telonemia_XX;Telonemia-Group-2;Telonemia-Group-2_X;Telonemia-Group-2_X_sp.;
08f0fb957a8548ab912200da34d7ff0b	VonDamm only	Shared	Cosmo	Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Labyrinthulomycetes_X;Labyrinthulomycetes_X_LAB15;Labyrinthulomycetes_X_LAB15_X;Labyrinthulomycetes_X_LAB15_X_sp.;
08fbb5644327376c08fd6b01acf55059	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Leegaardiellidae_B;Leegaardiella;Leegaardiella_sp.;
09222229619ad550d295e2574fc79a35	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Florenciellales;Pseudochattonella
0965ea66be5188eafae92d751159e938	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-H;Chrysophyceae_Clade-H_X;Chrysophyceae_Clade-H_X_sp.;
09c03bf23d63054418fc9d7d747ce24c	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II
09c590793b9a318d23b843c253903da0	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes
0a5504769754cd39c2958d43252575af	Piccard only	Shared	Cosmo	Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Thaumatomonadida;Thaumatomonadidae;Thaumatomonas;Thaumatomonas_sp.;
0a5ba8b55dbd840bf68f6036ba1cd065	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Sessilida
0a74555005ade8fc34dc361ec95ddb34	Shared across	Shared	Cosmo	Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina_sp.;
0b3fcc5de4bfd6f63ab1ff793bebda11	VonDamm only	Shared	Cosmo	Eukaryota;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Hydrozoa
0c28628a0e8390ae5d58fb03d123accd	VonDamm only	Shared	Vent only	Eukaryota;Alveolata;Ciliophora;Nassophorea;Nassophorea_X;Discotrichidae;NASSO_1;NASSO_1_sp.;
0c29fd3bc8ac0b509f12f3679cd20a85	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae_M;Strombidium_M;Strombidium_M_sp.;
0c3a6801dbfb28fc9c4c0821b67d538d	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae
0c5c1ef61ba3e26639392fe658f6386a	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;
0ce2862efd13cea5d1619db655f1dbad	VonDamm only	Shared	Cosmo	Unassigned
0cf1c41a17eaf173853ac7f6fffd30c1	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Nassophorea;Nassophorea_X;Discotrichidae;NASSO_1;NASSO_1_sp.;
0d1d7f7ffcf2807b2abecf4c60914208	Piccard only	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Phyllopharyngea;Suctoria;Acinetidae_1;Acinetidae_1_X;Acinetidae_1_X_sp.;
0d69288ef04c2d219f11d5dc5398a372	VonDamm only	Shared	Vent only	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-20;Dino-Group-II-Clade-20_X;Dino-Group-II-Clade-20_X_sp.;
0d8761daa6873b4be298346465402921	VonDamm only	Shared	Vent only	Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Pedinellales;Pedinellales_X;Pedinellales_X_sp.;
0dca36dfdfc43a0bf4d0a84aee125646	VonDamm only	Shared	Vent only	Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Pedinellales;Pedinellales_X;Pedinellales_X_sp.;
0dddb70d85e8e17528d7b5fd812ea5c1	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae
0dddf8b64a8b3ee2f673d50a39024b0f	Shared across	Shared	Cosmo	Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina_sp.;
0e1df260198c3e16585a2c03c9792ed1	VonDamm only	Shared	Vent only	Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea
0e2f19811478482aba29b321ed0cfabc	Shared across	Shared	Cosmo	Eukaryota;Rhizaria;Radiolaria;RAD-A;RAD-A_X;RAD-A_Xg;RAD-A_Xg_X;RAD-A_Xg_X_sp.;
0e38bb21f2d6be7963f64bbf59307e0f	Shared across	Shared	Cosmo	Eukaryota;Rhizaria;Radiolaria;Acantharea;Acantharea_D
0e4cbc4ecd16f6851ef0124c0d268d01	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Leegaardiellidae_B;Leegaardiella;Leegaardiella_sp.;
0e6efa480bdccdf4a4cd3674a3eb0b4e	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;
0e776ee97b08589cf5875ef36ac30dfb	VonDamm only	Shared	Vent only	Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina_sp.;
0e89357d4526356f2f8fcf207e65c4c2	Shared across	Shared	Vent only	Eukaryota;Alveolata;Dinoflagellata
0ee0cd2d400030476aceabeddabb3241	VonDamm only	Shared	Cosmo	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Pseudo-nitzschia
0ef1d1a9f7eac2ec294f4ab958ba88bb	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Phyllopharyngea;Suctoria;Suctoria_X;Suctoria_XX;Suctoria_XX_sp.;
0f293036633dd53246cd5befac6c855e	VonDamm only	Shared	Cosmo	Eukaryota;Rhizaria;Radiolaria;Acantharea
0f3e7afa2b6f2206bf4f9df3292c1486	VonDamm only	Shared	Cosmo	Eukaryota;Rhizaria;Cercozoa
0f4d26fd5e59bae91ae3d964ab18eb83	Shared across	Shared	Vent only	Eukaryota;Stramenopiles;Opalozoa;MAST-3;MAST-3L;MAST-3L_X;MAST-3L_XX;MAST-3L_XX_sp.;
0f73f53061dd36adef44555e3f36fe23	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;
0f8265641acf6638b0df5440716b2caf	Shared across	Shared	Cosmo	Eukaryota;Rhizaria;Radiolaria;RAD-C;RAD-C_X;RAD-C_Xb;RAD-C_Xb_X;RAD-C_Xb_X_sp.;
0fa7f186b2faacf7c0e398c5381bc26f	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae;Strombidiidae_X;Strombidiidae_X_sp.;
0fbd516bff391c38b8e29b0eb531e44b	VonDamm only	Shared	Vent only	Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea
0feeeb74f906300314072a539f2db043	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II
102e00d3a7eeb4dd20ed6495d2671a27	Shared across	Shared	Cosmo	Eukaryota;Rhizaria;Radiolaria;Acantharea;Acantharea_A;Acantharea_A_X;Acanthoplegma;Acanthoplegma_sp.;
10439997c5a13cfa0b6a742a597e0906	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Nassophorea;Nassophorea_X;Discotrichidae;NASSO_1;NASSO_1_sp.;
10567f213d14fde4c6d4e82dca7a6d8d	Shared across	Shared	Cosmo	Eukaryota;Rhizaria;Cercozoa;Chlorarachniophyceae;Chlorarachniophyceae_X;NPK2-lineage;NPK2-lineage_X;NPK2-lineage_X_sp.;
1069aafb1170c16a249026d455573980	VonDamm only	Shared	Cosmo	Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Pedinellales;Pedinellales_X;Pedinellales_X_sp.;
10778c69f9ec1aede57d194ec2b838fc	VonDamm only	Shared	Cosmo	Eukaryota;Stramenopiles;Pseudofungi;Pirsonia_Clade;Pirsonia_Clade_X;Pirsonia_Clade_XX;Pirsonia_Clade__XXX;Pirsonia_Clade__XXX_sp.;
109b7b7efd789198a0c2ada096380ed8	VonDamm only	Shared	Vent only	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;
109d07cf7a71b4123b2ee8fe5d5db10c	VonDamm only	Shared	Cosmo	Eukaryota;Stramenopiles;Pseudofungi;MAST-1;MAST-1B;MAST-1B_X;MAST-1B_XX;MAST-1B_XX_sp.;
10a8affd9174f72191a521825b088fec	Shared across	Shared	Cosmo	Eukaryota;Hacrobia;Centroheliozoa;Centroheliozoa_X;Pterocystida;Pterocystida_X;Pterocystida_XX;Pterocystida_XX_sp.;
11d81e555afd1d635e0c219f64b1e7a7	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X
11d85860b0312c3e9fc462d013b9d892	VonDamm only	Shared	Cosmo	Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Marimonadida;Marimonadida_X;Marimonadida_XX;Marimonadida_XX_sp.;
11f3b7fae1bdcff3a0167d8b8595eebf	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Pseudofungi;MAST-1;MAST-1B;MAST-1B_X;MAST-1B_XX;MAST-1B_XX_sp.;
122ed37b0e56b4bec3a9a7757ec1f9f6	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;
1289e551927c439344f222a5d51be373	VonDamm only	Shared	Cosmo	Unassigned
12b49124382c0f0a03e9b6e1d4fb8094	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum_sp.;
12c7f1f8f412570e4153a21c0819a338	VonDamm only	Shared	Cosmo	Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina_sp.;
12eefd6214ea5a937edad630a1af813d	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Heterotrichea;Heterotrichea_X
13011b5c22a588a218f871f2dc0bf98a	Piccard only	Shared	Cosmo	Bacteria;Bacteria_X;Patescibacteria;Gracilibacteria;JGI_0000069P22;JGI_0000069P22_X;JGI_0000069P22_XX;JGI_0000069P22_XX_sp.;
1305184181296678edd70c3a7d788677	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles
133433fb070c1af902501a1b41323d58	VonDamm only	Shared	Vent only	Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Labyrinthulomycetes_X;Labyrinthulomycetes_LAB2;Labyrinthulomycetes_LAB2_X;Labyrinthulomycetes_LAB2_X_sp.;
1369c9d50e54993d11300166dffe8cec	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Heterotrichea;Heterotrichea_X
1390b95894c26d4b84de20685fcc6679	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-15;Dino-Group-II-Clade-15_X;Dino-Group-II-Clade-15_X_sp.;
13d37c751e7f3bb54247c8d697baeeb6	VonDamm only	Shared	Cosmo	Eukaryota;Stramenopiles;Opalozoa;Bicoecea;Anoecales;Anoecales_X;Cafileria;Cafileria_marina;
14050168f9a853d3ea8f3b78fd74c972	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;
14114a332b709eecb35e92f946c7375e	VonDamm only	Shared	Vent only	Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Choanoflagellatea_X;Choanoflagellatea_X_Group_L;Choanoflagellatea_X_Group_L_X;Choanoflagellatea_X_Group_L_X_sp.;
14224c2dbe970b35471a659980d10029	VonDamm only	Shared	Cosmo	Eukaryota;Rhizaria;Radiolaria;RAD-C;RAD-C_X;RAD-C_Xa;RAD-C_Xa_X;RAD-C_Xa_X_sp.;
1503c3f1dd16aaf06e09ffd8c2f05412	VonDamm only	Shared	Cosmo	Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X
153110065c3a9a7ef05989fd77c16cea	VonDamm only	Shared	Cosmo	Eukaryota;Rhizaria;Radiolaria;RAD-B;RAD-B_X
1550b2dbb45ebae7be9fb3d548568c51	Shared across	Shared	Cosmo	Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina_sp.;
156a3b16b42c2c9a819a8dcfb7b682a0	VonDamm only	Shared	Cosmo	Eukaryota;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B_X_Group-Ia;RAD-B_X_Group-Ia_X;RAD-B_X_Group-Ia_X_sp.;
15cb086f74b607810cc97be58bc01566	Piccard only	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae
15ce066a4d289cba22ac0725105fbf17	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;
15d46885802a89d3915e2d4db233421d	VonDamm only	Shared	Cosmo	Eukaryota
15e457d6eae23bbf03cd11445b6321d2	VonDamm only	Shared	Cosmo	Eukaryota;Stramenopiles;Pseudofungi;MAST-1;MAST-1B;MAST-1B_X;MAST-1B_XX;MAST-1B_XX_sp.;
16275a58e058079badf701ba16cb59bd	Shared across	Shared	Cosmo	Eukaryota;Rhizaria;Radiolaria;Acantharea;Acantharea_1;Acantharea_1_X;Acantharea_1_XX;Acantharea_1_XX_sp.;
