YEAR	VENTSITE	NAME	REP	CELLML	ORIGSAMPLE	ID_number	Origin
2013	VD	NearMainOrifice	rep2	372000.00	Near Main Orifice	FS866	Anderson et al. 2017
2013	VD	NearMainOrifice	rep3	NC	Near Main Orifice	FS867	
2013	Piccard	HotChimlet	rep1	64800.70	Hot Chimlet, BVM	FS869	
2013	Piccard	HotChimlet	rep2	149816.20	Hot Chimlet, BVM	FS870	
2013	VD	ShrimpHole	rep1	75569.33	Shrimp Hole	FS871	
2013	VD	ShrimpHole	rep2	154000.00	Shrimp Hole	FS872	Anderson et al. 2017
2013	VD	ShrimpHole	rep3	153972.52	Shrimp Hole	FS873	
2013	VD	TwinPeaks	rep1	402406.70	Twin Peaks	FS875	
2013	VD	TwinPeaks	rep2	402000.00	Twin Peaks	FS874	Anderson et al. 2017
2013	VD	ShrimpButtery	rep1	181366.40	Shrimp Buttery	FS876	
2013	VD	ShrimpButtery	rep2	181000.00	Shrimp Buttery	FS877	Anderson et al. 2017
2013	VD	HotCracks2	rep1	112409.38	Hot Cracks #2	FS878	
2013	VD	HotCracks2	rep2	112000.00	Hot Cracks #2	FS879	Anderson et al. 2017
2013	VD	HotCracks2	rep3	68957.02	Hot Cracks #2	FS880	
2013	VD	OMT	rep1	94083.82	Old Man Tree	FS882	
2013	VD	OMT	rep2	94100.00	Old Man Tree	FS881	Anderson et al. 2017
2013	VD	OMT	rep3	66123.17	Old Man Tree	FS883	
2013	Piccard	NearHotChimlet	rep1	182248.04	Near Hot Chimlet	FS884	
2013	Piccard	NearHotChimlet	rep2	152083.28	Near Hot Chimlet	FS886	
2013	Piccard	NearsummitBeebee	rep1	108630.92	Near summit of Beebee Vents Mound	FS888	
2013	Piccard	NearsummitBeebee	rep2	312668.12	Near summit of Beebee Vents Mound	FS890	
